Ngành,Chỉ số,2021,2022,2023,2024
Viễn thông di động,Số ngày thu tiền bình quân,270.8762242586,176.0464772297,112.6854606158,74.1127731371
Viễn thông di động,Số ngày tồn kho bình quân,62.8295873925,63.1883500162,65.3011418759,60.8493923646
Viễn thông di động,Chỉ số thanh toán nhanh,1.6416264955,1.9552281625,1.9614304225,2.0455865953
Viễn thông di động,Số ngày thanh toán bình quân,167.157046209,121.9468155761,116.8376550914,90.7261892567
Viễn thông di động,Biên lợi nhuận gộp (%),0.3689403888,0.4833335158,0.5041366482,0.5096265023
Viễn thông di động,Biên EBIT (%),0.0747100342,0.0726766949,0.1054611591,0.2123592051
Viễn thông di động,Biên lợi nhuận ròng (%),0.0172840641,0.0671073773,0.0526157688,0.2027878144
Viễn thông di động,Chỉ số thanh toán hiện thời,1.7507759729,2.0842765302,2.1010856757,2.1685526627
Viễn thông di động,Quay vòng tài sản,0.3494982683,0.4680885392,0.5524206216,0.6125104718
Viễn thông di động,(Vay NH + DH)/VCSH,0.4245792928,0.2036002893,0.0967125716,0.0764120997
Viễn thông di động,ROIC (%),0.3704461054,0.471177148,0.496150522,0.5952232743
Viễn thông di động,Vòng quay TSCĐ,2.733021,3.051067,3.054914,3.696051
Bảo hiểm phi nhân thọ,Chu kỳ tiền,282.0319269761,305.6297643468,274.1052653519,302.5957332784
Bảo hiểm phi nhân thọ,Tăng trưởng lợi nhuận (%),0.24283853397612928,-0.37345724667430125,0.5821680795802634,-0.07406586352670956
Bảo hiểm phi nhân thọ,Lợi nhuận sau thuế của Cổ đông công ty mẹ,2899259555055.0,1816510064230.0,2874024239861.0,2661157152739.0
Bảo hiểm phi nhân thọ,Tăng trưởng doanh thu (%),,,,
Bảo hiểm phi nhân thọ,Doanh thu,,,,
Bảo hiểm phi nhân thọ,Vốn hóa,39632115075661.0,30250120598957.0,32226549557634.0,36499282734100.0
Bảo hiểm phi nhân thọ,EPS (VND),2906.715976239172,1655.4603535559072,2322.8151070804,2130.226687417014
Bảo hiểm phi nhân thọ,P/E,14.6644051921,17.6035579506,11.1936536725,13.7226742047
Bảo hiểm phi nhân thọ,P/B,1.8413323233,1.4089316159,1.3311159451,1.4749520975
Bảo hiểm phi nhân thọ,P/S,1.7670086847,1.3041286639,1.1362243305,1.3200125662
Bảo hiểm phi nhân thọ,P/Cash Flow,30.1408437144,-8.1488305878,7.6417034914,10.1928459289
Bảo hiểm phi nhân thọ,Số CP lưu hành,997434761.0,1097283943.0,1237302199.0,1249236604.0
Bảo hiểm phi nhân thọ,EV/EBITDA,-15.6863710348,-13.5908204833,-12.0983626609,-15.4356074658
Bảo hiểm phi nhân thọ,BVPS (VND),314.4200383964,0.0,0.0,0.0
Bảo hiểm phi nhân thọ,Chỉ số thanh toán tiền mặt,0.1550684185,0.1729950496,0.1690186212,0.1145750353
Bảo hiểm phi nhân thọ,Nợ/VCSH,2.2343749279,2.4886995703,2.3801266634,2.7150442428
Bảo hiểm phi nhân thọ,ROE (%),0.1344488756,0.0787244749,0.125386898,0.1127938847
